page_title,original_title,page_url,section_name,section_link
Mice in Bion-M 1 Space Mission: Training and Selection,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136787/,Abstract,
Mice in Bion-M 1 Space Mission: Training and Selection,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136787/,Introduction,
Mice in Bion-M 1 Space Mission: Training and Selection,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136787/,Materials and Methods,
Mice in Bion-M 1 Space Mission: Training and Selection,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136787/,Results,
Mice in Bion-M 1 Space Mission: Training and Selection,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136787/,Discussion,
Mice in Bion-M 1 Space Mission: Training and Selection,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136787/,Conclusions,
Mice in Bion-M 1 Space Mission: Training and Selection,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136787/,Acknowledgments,
Mice in Bion-M 1 Space Mission: Training and Selection,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136787/,References,
"Microgravity Induces Pelvic Bone Loss through Osteoclastic Activity, Osteocytic Osteolysis, and Osteoblastic Cell Cycle Inhibition by CDKN1a/p21",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3630201/,Abstract,
"Microgravity Induces Pelvic Bone Loss through Osteoclastic Activity, Osteocytic Osteolysis, and Osteoblastic Cell Cycle Inhibition by CDKN1a/p21",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3630201/,Introduction,
"Microgravity Induces Pelvic Bone Loss through Osteoclastic Activity, Osteocytic Osteolysis, and Osteoblastic Cell Cycle Inhibition by CDKN1a/p21",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3630201/,Results,
"Microgravity Induces Pelvic Bone Loss through Osteoclastic Activity, Osteocytic Osteolysis, and Osteoblastic Cell Cycle Inhibition by CDKN1a/p21",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3630201/,Discussion,
