title,url,keywords
Mice in Bion-M 1 space mission: training and selection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136787/,"biomedical research in space, Bion-M 1 biosatellite, microgravity adaptation, physiological systems, in vivo measurements, in vitro studies, C57/BL6 mice, spaceflight physiology, behavioral adaptation, cellular and molecular mechanisms"
"Microgravity induces pelvic bone loss through osteoclastic activity, osteocytic osteolysis, and osteoblastic cell cycle inhibition by CDKN1a/p21",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3630201/,"bone remodeling, microgravity, osteoclast-mediated bone resorption, osteocytic osteolysis, cell cycle arrest, osteogenesis, matrix metalloproteinases, CDKN1a/p21, Trp53, apoptosis resistance"
Stem Cell Health and Tissue Regeneration in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11988870/,"microgravity, T cell activation, cytokine production, macrophage differentiation, cancer stem cells, thyroid cancer cells, Hippo signaling pathway, PI3K-Akt pathway, osteoclastic activity, cardiomyocyte maturation"
Microgravity Reduces the Differentiation and Regenerative Potential of Embryonic Stem Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7998608/,"adipose-derived stem cell, microgravity culture, polystyrene microsphere, collagen microsphere, multilineage-differentiating stress-enduring cell, stemness preservation, pluripotent markers, cell proliferation, colony formation, network formation"
Microgravity validation of a novel system for RNA isolation and multiplex quantitative real time PCR analysis of gene expression on the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5587110/,"microgravity, gene expression analysis, RNA extraction, quantitative PCR, DNA calibration standards, thermal cycler, fluidic sample preparation, on-orbit experimentation, molecular biology laboratory tools, ISS National Laboratory"
Spaceflight Modulates the Expression of Key Oxidative Stress and Cell Cycle Related Genes in Heart,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8396460/,"spaceflight, microgravity, cardiac deconditioning, oxidative stress, Nfe2l2, Nox1, Ptgs2, Cdkn1a, Myc, Trp53 signaling"
Dose- and Ion-Dependent Effects in the Oxidative Stress Response to Space-Like Radiation Exposure in the Skeletal System,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666799/,"cancellous bone, osteoblastogenesis, ionizing radiation, spaceflight, oxidative stress, redox-related genes, bone remodeling, microgravity, catalase, Gadd45"
From the bench to exploration medicine: NASA life sciences translational research for human exploration and habitation missions.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5460236/,"Space Biology, Human Research Program, translational research, spaceflight, microgravity, osteoclastic activity, molecular mechanisms, physiological adaptation, genetic expression, cellular processes"
High-precision method for cyclic loading of small-animal vertebrae to assess bone quality.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6222041/,"bone quality, cyclic mechanical loading, microgravity, osteoclastic activity, bone remodeling, mechanical stress, fatigue life, bone mechanics, mouse vertebrae, finite element analysis"
Effects of ex vivo ionizing radiation on collagen structure and whole-bone mechanical properties of mouse vertebrae.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6813909/,"bone, collagen fragmentation, non-enzymatic collagen crosslinking, ionizing radiation, compressive mechanical properties, monotonic loading, cyclic loading, bone brittleness, collagen molecular structure, radiation-induced embrittlement"
Absence of gamma-sarcoglycan alters the response of p70S6 kinase to mechanical perturbation in murine skeletal muscle,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4095884/,"γ-sarcoglycan, mechanotransduction, p70S6K, S6RP phosphorylation, ERK1/2 phosphorylation, mTOR signaling, calcium-independent activation, myofiber degeneration, dystrophin glycoprotein complex, load-sensing mechanisms"
AtRabD2b and AtRabD2c have overlapping functions in pollen development and pollen tube growth.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3040128/,"Rab GTPases, endomembrane trafficking, pollen development, pollen germination, pollen tube elongation, AtrabD2b, AtrabD2c, Golgi bodies, vesicle trafficking, pollen defects"
TNO1 is involved in salt tolerance and vacuolar trafficking in Arabidopsis.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3177255/,"TGN-localized SYP41-interacting protein, vacuolar trafficking, salt stress response, vesicle fusion, trans-Golgi network, brefeldin A compartment, membrane fusion processes, protein trafficking, stress tolerance, cellular localization"
Functional redundancy between trans-Golgi network SNARE family members in Arabidopsis thaliana.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11500582/,"glycosylation, Golgi apparatus, membrane trafficking, trans-Golgi network, SNARE proteins, fucosyltransferases, Arabidopsis thaliana, protein localization, membrane-anchored proteins, cellular transport mechanisms"
Root growth movements: Waving and skewing.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,"trans-Golgi network, root skewing, cell file rotation, tethering factor, microtubules, Arabidopsis thaliana, TNO1 protein, cytoskeletal changes, hormonal signaling, cell morphology maintenance"
Gravitropism and lateral root emergence are dependent on the trans-Golgi network protein TNO1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4642138/,"auxin transport, trans-Golgi network, SYP41-interacting protein, lateral root emergence, gravitropic response, endocytosis, vacuolar trafficking, auxin asymmetry, membrane fusion, coiled-coil protein"
"TNO1, a TGN-localized SNARE-interacting protein, modulates root skewing in Arabidopsis thaliana.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,"trans-Golgi network, root skewing, cell file rotation, tethering factor, microtubules, Arabidopsis thaliana, TNO1 protein, epidermal cell morphology, SNARE machinery, cytoskeletal organization"
The Drosophila SUN protein Spag4 cooperates with the coiled-coil protein Yuri Gagarin to maintain association of the basal body and spermatid nucleus.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2915878/,"SUN protein, KASH protein, centrosome, centriole, coiled-coil proteins, sperm basal body, spermatogenesis, nuclear attachment, Giacomo, Spag4"
Toll mediated infection response is altered by gravity and spaceflight in Drosophila,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3901686/,"Drosophila innate immunity, spaceflight immunology, microgravity effects, hypergravity exposure, Toll signaling pathway, Imd signaling pathway, heat shock stress response, fungal infection resistance, bacterial infection response, gravitaxis mutants"
Multi-omics analysis of multiple missions to space reveal a theme of lipid dysregulation in mouse liver,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6985101/,Error
GeneLab database analyses suggest long-term impact of space radiation on the cardiovascular system by the activation of FYN through reactive oxygen species.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6387434/,"space radiation, cardiovascular system, GeneLab database, transcriptomic analysis, HUVECs, cardiomyocytes, FYN kinase, reactive oxygen species, proton exposure, iron ion irradiation"
FAIRness and usability for open-access omics data systems.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6371294/,"omics data sharing, FAIRness metrics, GeneLab Data Systems, data findability, data accessibility, data interoperability, metadata reusability, semantic integration, federated querying, Big Data system development"
NASA GeneLab platform utilized for biological response to space radiation in animal models,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072278/,"space radiation, galactic cosmic rays, HZE particles, transcriptomics, mitochondrial function, ribosomal assembly, immune pathways, dosimetry, animal models, omics datasets"
Circulating miRNA spaceflight signature reveals targets for countermeasure development,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8441986/,"spaceflight-associated microRNA signature, miR-125, miR-16, let-7a, simulated microgravity, deep space radiation, vascular damage, antagomir inhibition, single-cell RNA sequencing, chromatin accessibility"
Machine learning algorithm to characterize antimicrobial resistance associated with the International Space Station surface microbiome,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9400218/,"antimicrobial resistance, microgravity, International Space Station, metagenomics, machine learning, microbiome, bacterial virulence, antibiotic resistance genes, spaceflight, microbial diversity"
Extraterrestrial Gynecology: Could Spaceflight Increase the Risk of Developing Cancer in Female Astronauts? An Updated Review,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9267413/,"microgravity, space radiation, female reproductive system, gynecological cancers, astronaut health, carcinogenic risk, ionizing radiation, galactic cosmic rays, cancer hallmarks, postflight screening"
Muscle atrophy phenotype gene expression during spaceflight is linked to a metabolic crosstalk in both the liver and the muscle in mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9576569/,"spaceflight, microgravity, transcriptome, liver, quadriceps, lipid metabolism, glucose sparing, energy-saving response, DNA repair, autophagy, translation, muscle atrophy, dietary countermeasures"
Chromosomal positioning and epigenetic architecture influence DNA methylation patterns triggered by galactic cosmic radiation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10789781/,"galactic cosmic radiation, DNA methylation, epigenetic phenotype, high-LET radiation, low-LET radiation, chromatin architecture, nuclear radial layers, transcriptomic response, DNA damage, spaceflight radiation exposure"
"A comprehensive SARS-CoV-2 and COVID-19 review, Part 2: Host extracellular to systemic effects of SARS-CoV-2 infection",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10772081/,"SARS-CoV-2, COVID-19, viral pathogenesis, post-acute disease, tissue damage, organ adaptations, chronic inflammation, diagnostic markers, viral infection, molecular mechanisms"
Aging and putative frailty biomarkers are altered by spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166946/,"spaceflight, microgravity, genomic instability, mitochondrial dysfunction, inflammation, epigenomic changes, frailty syndrome, sarcopenia, gene expression, aging"
Space radiation damage rescued by inhibition of key spaceflight associated miRNAs,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166944/,"microRNA signature, space radiation, antagomirs, inflammation reduction, DNA double strand breaks, mitochondrial function, transcriptomic analysis, biomarker development, spaceflight countermeasures, galactic cosmic radiation"
Ethical considerations for the age of non-governmental space exploration,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166968/,"crewed space exploration, space travelers, ethical considerations, human subject research, commercial space operations, medical policy, legal concerns, physiological adaptation, microgravity effects, research ethics"
Innate immune responses of Drosophila melanogaster are altered by spaceflight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7000411/,"Serratia marcescens, Drosophila melanogaster, spaceflight, microgravity, virulence, innate immunity, bacterial growth, pathogenesis, immune pathways, microbiology"
Prolonged Exposure to Microgravity Reduces Cardiac Contractility and Initiates Remodeling in Drosophila,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7787258/,"microgravity, cardiac remodeling, myofibrillar structure, extracellular matrix, proteasomal activity, proteostasis, amyloid deposits, polyglutamine aggregation, long-QT syndrome, Drosophila heart function"
Regulation of plant gravity sensing and signaling by the actin cytoskeleton.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8716943/,"actin cytoskeleton, primary root growth, cell elongation, auxin signaling, gravitropism, actin-binding proteins, light response, hormone crosstalk, cytoskeletal dynamics, root morphogenesis"
HLB1 Is a Tetratricopeptide Repeat Domain-Containing Protein That Operates at the Intersection of the Exocytic and Endocytic Pathways at the TGN/EE in Arabidopsis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4826010/,"Arabidopsis thaliana, latrunculin B hypersensitivity, HLB1 protein, post-Golgi trafficking, plant-specific proteins, forward genetic screening, cytoskeletal dynamics, vesicular transport, cellular morphogenesis, actin filament organization"
ERULUS is a plasma membrane-localized receptor-like kinase that specifies root hair growth by maintaining tip-focused cytoplasmic calcium oscillations.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6048781/,Error
Brassinosteroids inhibit autotropic root straightening by modifying filamentous-actin organization and dynamics.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7010715/,"gravitropism, autotropism, brassinosteroids, epi-brassinolide, filamentous actin, cytoskeleton, root development, clinostat, actin dynamics, plant hormone signaling"
Cell type-specific imaging of calcium signaling in Arabidopsis thaliana seedling roots using GCaMP3.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7503278/,"GCaMP3, Arabidopsis thaliana, cytoplasmic calcium, cell type specificity, calcium response, root cell types, environmental stimuli, second messenger, genetically-encoded reporters, developmental pathways"
Spatial and temporal localization of SPIRRIG and WAVE/SCAR reveal roles for these proteins in actin-mediated root hair development.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8364238/,"SPIRRIG, SCAR/WAVE complex, actin cytoskeleton, root hair morphogenesis, Arabidopsis thaliana, cell polarity, tip growth, actin polymerization, plant cell development, gravitropism"
Microgravity Stress: Bone and Connective Tissue,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11579474/,"microgravity, bone density, osteoblast marker gene expression, osteoclast marker gene expression, thymus atrophy, spleen gene expression, gravitational loading, skeletal system, immune system, molecular mechanisms"
S. aureus MscL is a pentamer in vivo but of variable stoichiometries in vitro: implications for detergent-solubilized membrane proteins,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2998437/,"MscL channel, membrane-protein subunits, X-ray crystallography, S. aureus, pentamer, detergent-induced rearrangements, stoichiometry, in vivo assembly"
Manipulating the permeation of charged compounds through the MscL nanovalve.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3005423/,"MscL mechanosensor, osmotic downshock, cytoplasmic solute release, vesicular drug-release devices, charged compound permeation, ionic selectivity, membrane tension, pH-responsive gating, light-activated switching, nanopore actuation"
The oligomeric state of the truncated mechanosensitive channel of large conductance shows no variance in vivo.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3190158/,"mechanosensitive channel, MscL, membrane tension, osmotic downshock, pentameric structure, tetrameric structure, detergent effects, cytoplasmic helical bundle, C-terminal domain, disulfide-trapping technique"
Three routes to modulate the pore size of the MscL channel/nanovalve,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3289768/,"MscL mechanosensitive channel, osmoregulation, microgravity-induced cellular stress, bacterial cell lysis prevention, transmembrane α-helices, cytoplasmic bundle stability, channel conductance modulation, genetic modification for drug delivery, biosensor applications, nanopore-based drug release systems"
The dynamics of protein-protein interactions between domains of MscL at the cytoplasmic-lipid interface,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3508904/,"mechanosensitive channel, MscL, disulfide trapping, protein-protein interactions, osmoregulation, bacterial mechanosensitive channel of large conductance, homopentamer, transmembrane domains, cytoplasmic membrane, channel gating dynamics"
